method name: freqs			
corpus: siparl40			
subcorpus: -			
concordance size: 1922			
"query: Query:([lemma=""""naš""""][]{1,3}[lemma=""""vaš""""])|([lemma=""""vaš""""][]{1,3}[lemma=""""naš""""])within<s/>"			
Legislative period (in Slovene)	Frequency	Relative density	Relative in text types
Odbor za gospodarstvo: 25. izredna seja (23. 8. 2000)	1	452.74062	32.68401
Odbor za mednarodne odnose: 138. redna seja (26. 7. 2000)	1	995.61935	71.87522
Odbor za zdravstvo delo družino in socialno politiko: 19. izredna seja (10. 7. 2000)	1	1118.63458	80.75587
Komisija za poslovnik: 3. izredna seja (30. 5. 2000)	1	1199.10422	86.5651
48. izredna seja (23. 5. 2000)	1	264.24624	19.07632
40. redna seja (17. 7. 1996)	1	413.60521	29.85877
Odbor za obrambo: 42. redna seja (7. 4. 2000)	1	1036.05475	74.79432
17. redna seja (16. 12. 1999)	1	310.88386	22.44316
19. redna seja (15. 3. 2000)	1	514.35342	37.13193
Komisija za vprašanja invalidov: 40. redna seja (10. 3. 2000)	1	732.44776	52.87648
Komisija za peticije: 16. redna seja (16. 2. 2000)	1	1267.69031	91.51643
17. redna seja (1. 12. 1999)	1	499.31699	36.04643
16. redna seja (1. 10. 1999)	1	483.64415	34.91498
38. izredna seja (27. 7. 1999)	1	313.16811	22.60807
Odbor za obrambo: 36. redna seja (14. 7. 1999)	1	1706.7585	123.21341
Odbor za znanost in tehnologijo: 26. redna seja (2. 6. 1999)	1	1407.58581	101.61569
14. redna seja (18. 5. 1999)	1	445.66154	32.17296
Odbor za obrambo: 32. redna seja (11. 3. 1999)	1	883.42168	63.77551
Komisija za evropske zadeve: 38. redna seja (3. 3. 1999)	1	837.03257	60.42661
Odbor za zdravstvo delo družino in socialno politiko: 34. redna seja (4. 6. 1998)	1	1784.13859	128.79959
30. izredna seja (17. 12. 1998)	1	395.68247	28.5649
Odbor za zdravstvo delo družino in socialno politiko: 41. redna seja (6. 11. 1998)	1	519.67931	37.51641
Odbor za zdravstvo delo družino in socialno politiko: 39. redna seja (21. 10. 1998)	1	495.08746	35.74109
Komisija za vprašanja invalidov: 24. redna seja (7. 10. 1998)	1	690.35893	49.83803
10. redna seja (24. 9. 1998)	1	971.11974	70.10656
24. izredna seja (18. 9. 1998)	1	617.92622	44.609
Komisija za nadzor lastninskega preoblikovanja in privatizacije: 20. redna seja (2. 7. 1998)	1	527.89832	38.10976
Odbor za znanost in tehnologijo: 18. redna seja (5. 6. 1998)	1	574.63088	41.48345
9. redna seja (22. 5. 1998)	1	503.61941	36.35703
22. izredna seja (14. 5. 1998)	1	362.79961	26.19104
20. izredna seja (13. 3. 1998)	1	354.35399	25.58134
Odbor za mednarodne odnose: 41. redna seja (11. 2. 1998)	1	439.81749	31.75107
Odbor za nadzor proračuna in drugih javnih financ: 7. redna seja (4. 11. 1997)	1	742.4985	53.60206
6. redna seja (8. 10. 1997)	1	717.46268	51.79469
6. redna seja (11. 9. 1997)	1	311.32404	22.47494
Odbor za kulturo šolstvo in šport: 6. redna seja (17. 7. 1997)	1	658.46138	47.53529
Odbor za finance in monetarno politiko: 8. redna seja (17. 6. 1997)	1	849.2981	61.31208
4. redna seja (24. 4. 1997)	1	355.65503	25.67526
29. redna seja (15. 3. 1995)	1	636.02792	45.91579
Komisija za vprašanja invalidov: 1. redna seja (7. 3. 1997)	1	588.99787	42.52062
Odbor za mednarodne odnose: 3. redna seja (4. 2. 1997)	1	821.9339	59.33662
Odbor za kmetijstvo gozdarstvo in prehrano: 1. redna seja (3. 2. 1997)	1	548.94396	39.62907
Odbor za infrastrukturo in okolje: 1. redna seja (31. 1. 1997)	1	434.64236	31.37747
1. izredna seja (9. 1. 1997)	1	275.6024	19.89614
52. izredna seja (2. 10. 1996)	1	628.06856	45.34119
47. izredna seja (23. 7. 1996)	1	435.33901	31.42776
46. izredna seja (18. 7. 1996)	1	817.42311	59.01098
38. redna seja (15. 5. 1996)	1	1304.45918	94.17083
38. redna seja (21. 3. 1996)	1	388.31722	28.03319
38. redna seja (13. 3. 1996)	1	334.50175	24.14817
36. redna seja (14. 12. 1995)	1	356.37788	25.72744
35. izredna seja (29. 11. 1995)	1	203.61083	14.69897
31. izredna seja (13. 7. 1995)	1	307.24984	22.18082
30. redna seja (20. 4. 1995)	1	485.10075	35.02014
30. redna seja (18. 4. 1995)	1	620.61165	44.80287
28. redna seja (20. 1. 1995)	1	184.36708	13.30973
21. izredna seja (8. 12. 1994)	1	292.2004	21.09438
20. izredna seja (11. 11. 1994)	1	504.9228	36.45112
18. izredna seja (19. 10. 1994)	1	324.54844	23.42963
20. redna seja (27. 5. 1994)	1	389.21191	28.09778
18. redna seja (22. 2. 1994)	1	277.4739	20.03125
13. redna seja (12. 11. 1993)	1	223.81006	16.15718
12. redna seja (6. 10. 1993)	1	326.6069	23.57823
12. redna seja (1. 10. 1993)	1	363.56138	26.24603
10. redna seja (6. 7. 1993)	1	311.90588	22.51694
Zbor občin: 30. seja	1	53.28717	3.84688
Zbor združenega dela: 32. seja	1	107.66318	7.77236
Zbor združenega dela: 33. seja	1	427.30826	30.84801
Zbor združenega dela: 29. seja	1	134.28126	9.69396
Zbor združenega dela: 26. seja	1	358.55491	25.88461
Družbeno-politični zbor: 22. seja	1	230.03939	16.60688
Vsi zbori zasedajo skupaj: 23. seja	1	560.60755	40.47108
Year	Frequency	Relative density	Relative in text types
2020	170	186.93362	13.15952
2021	144	156.70061	11.03121
2013	134	182.19315	12.82581
2012	113	177.8312	12.51874
2009	108	148.34319	10.44288
2008	101	173.70141	12.22802
2016	92	102.54341	7.21872
2017	90	107.50931	7.56831
2015	84	95.45405	6.71966
2014	83	113.43873	7.98572
2010	78	96.30195	6.77934
2019	75	91.62481	6.45009
2007	67	100.63018	7.08404
2006	65	90.65459	6.38179
2011	61	88.1189	6.20328
2018	56	105.36619	7.41744
2005	49	84.81808	5.97092
2004	49	91.99218	6.47595
2003	42	81.7599	5.75563
2002	37	61.58457	4.33535
1999	34	50.84199	3.57911
2001	29	54.50715	3.83713
2000	29	61.98213	4.36334
1998	26	40.28438	2.83589
2022	24	124.5004	8.76442
1997	20	35.56503	2.50366
1995	14	50.24347	3.53698
1996	12	63.41119	4.46394
1991	9	22.3218	1.57138
1994	8	31.37523	2.20871
1993	7	33.54841	2.3617
1992	7	23.15386	1.62996
1990	5	25.11343	1.7679
Month	Frequency	Relative density	Relative in text types
2008-11	40	811.15675	57.1028
2020-06	31	304.04147	21.40353
2020-11	27	280.58361	19.75218
2013-11	25	196.78216	13.85283
2021-10	24	230.89673	16.25438
2021-03	22	194.50482	13.69251
2021-06	21	270.9264	19.07234
2007-11	21	209.02325	14.71456
2020-04	20	287.43421	20.23444
2009-05	19	219.14254	15.42692
2013-10	19	217.63645	15.3209
2012-12	19	276.48552	19.46368
2021-12	18	217.237	15.29278
2009-09	17	230.44106	16.2223
2020-05	17	190.83822	13.43439
2020-12	17	188.53776	13.27245
2009-11	16	209.54153	14.75104
2004-05	16	200.01813	14.08063
2015-11	16	154.92142	10.90597
2007-10	15	161.36246	11.35939
2010-03	15	165.03218	11.61773
2017-09	15	150.90809	10.62344
2021-02	15	150.68238	10.60755
2012-06	15	209.40483	14.74142
2020-09	15	169.79842	11.95326
2013-03	15	248.86185	17.51907
2012-10	15	170.16414	11.979
2011-03	14	119.96376	8.44506
2010-02	14	247.2549	17.40594
2019-10	14	115.96988	8.1639
2016-02	14	159.97194	11.26151
2016-06	14	137.58358	9.68544
2013-07	14	191.36572	13.47153
2012-11	14	182.61948	12.85582
2012-05	14	231.75002	16.31445
2017-07	13	250.46705	17.63207
2018-12	13	210.22389	14.79908
2022-03	12	185.03964	13.02619
2008-04	12	182.28115	12.832
2009-04	12	195.80461	13.78401
2017-03	12	136.09284	9.58049
2013-05	12	210.33627	14.80699
2020-10	12	107.83579	7.59129
2009-03	12	177.19897	12.47423
2020-07	12	170.57652	12.00803
2014-11	12	143.41589	10.09601
2014-03	12	130.0768	9.15699
2004-04	11	133.88949	9.42539
2006-11	11	125.53673	8.83738
2014-04	11	143.32078	10.08932
2009-10	11	123.17198	8.67091
2014-01	11	133.12273	9.37141
2015-03	11	117.34228	8.26052
2021-11	11	96.84825	6.8178
2013-01	11	230.27324	16.21049
2021-05	11	156.13167	10.99116
2017-11	11	127.81169	8.99753
2020-03	11	132.04335	9.29542
2016-11	11	108.43642	7.63357
2013-12	11	163.64667	11.52019
2021-07	10	142.06663	10.00103
2019-11	10	87.9329	6.19019
2007-03	10	148.51803	10.45519
2008-12	10	420.49737	29.60165
2008-06	10	137.52269	9.68115
2018-11	10	120.76212	8.50126
2016-10	10	115.34511	8.11992
2015-02	10	99.7772	7.02399
2003-01	9	272.04052	19.15077
2006-07	9	224.42414	15.79873
2012-09	9	180.46828	12.70438
2019-03	9	123.22785	8.67484
2016-04	9	125.47187	8.83281
2016-03	9	94.24067	6.63424
1999-02	8	149.06025	10.49336
2000-04	8	177.08714	12.46636
2006-06	8	110.04596	7.74688
2014-09	8	133.12404	9.3715
2015-05	8	104.68892	7.36976
2008-02	8	105.30161	7.41289
2008-05	8	95.42329	6.71749
2010-06	8	109.04848	7.67666
2015-07	8	99.03951	6.97206
2011-01	8	125.82038	8.85735
2017-10	8	84.70615	5.96304
2017-02	8	131.32246	9.24468
2016-09	8	95.3786	6.71434
2017-05	8	84.09611	5.92009
2013-04	8	210.13959	14.79315
2011-09	8	78.66044	5.53744
2006-01	7	107.10917	7.54014
2002-04	7	108.96017	7.67044
2022-01	7	146.19926	10.29195
2015-06	7	82.99882	5.84285
2003-10	7	135.95946	9.57111
2005-11	7	116.22702	8.18201
2005-12	7	100.54867	7.0783
2011-06	7	99.79406	7.02518
2020-01	7	122.12488	8.5972
2014-05	7	89.85295	6.32536
2011-05	7	92.49579	6.5114
2018-09	7	89.63192	6.3098
2019-01	7	132.89603	9.35545
2013-09	7	129.01235	9.08205
2010-11	7	93.99112	6.61667
2012-07	7	104.17261	7.33341
2019-06	7	90.86186	6.39638
2002-02	6	110.86034	7.80421
2012-01	6	283.99703	19.99247
2018-02	6	122.35297	8.61325
2017-12	6	135.42885	9.53375
2004-02	6	94.41358	6.64641
2019-05	6	77.63324	5.46513
2001-04	6	100.38762	7.06696
2005-09	6	110.92497	7.80876
1997-01	6	223.56018	15.73791
2010-01	6	91.39742	6.43408
2010-04	6	95.85694	6.74802
2010-05	6	66.58745	4.68754
2019-02	6	108.70522	7.6525
2018-01	6	95.52647	6.72475
2017-01	6	88.02548	6.19671
2016-07	6	136.90593	9.63773
2021-04	6	106.58776	7.50343
2013-02	6	126.16564	8.88165
2010-10	6	79.04733	5.56468
2006-05	6	87.83616	6.18338
2015-09	6	80.31844	5.65416
2006-04	6	100.39519	7.0675
2013-06	6	80.49192	5.66637
2019-12	6	93.34963	6.57151
2016-05	6	56.73358	3.99386
2002-06	6	110.12864	7.7527
2014-02	6	84.53338	5.95088
2005-06	6	77.24955	5.43812
2014-08	5	355.46236	25.0234
2003-05	5	118.3047	8.32827
2006-02	5	73.07149	5.144
2008-03	5	77.7202	5.47125
2007-02	5	121.2234	8.53373
2009-12	5	75.3279	5.30284
2009-06	5	84.32027	5.93587
2005-05	5	126.63225	8.9145
2003-07	5	106.51338	7.4982
1999-07	5	57.34405	4.03684
2004-06	5	108.95597	7.67015
2019-09	5	70.06741	4.93252
2011-04	5	75.55885	5.3191
2010-09	5	51.86526	3.65115
2018-03	5	72.43722	5.09935
2012-04	5	79.28823	5.58163
2002-03	5	83.211	5.85778
2015-12	5	88.33201	6.21829
2015-01	5	83.23343	5.85936
2014-12	5	78.82704	5.54917
2012-02	5	140.96096	9.92319
2000-08	5	282.71755	19.9024
1998-09	4	82.64062	5.81763
1998-05	4	53.09254	3.73754
2001-07	4	99.02924	6.97134
2003-06	4	92.3006	6.49766
2004-07	4	75.70807	5.3296
2005-10	4	54.8349	3.8602
2000-03	4	63.546	4.47343
2004-03	4	50.11514	3.52794
2006-09	4	87.10264	6.13174
2006-10	4	58.35237	4.10782
2007-12	4	73.58168	5.17991
2008-07	4	55.89353	3.93472
2016-12	4	70.63978	4.97281
2009-01	4	85.50512	6.01928
2009-02	4	123.77264	8.71319
2001-06	4	85.84759	6.04339
2008-01	4	72.95886	5.13607
1999-11	4	69.57595	4.89792
1999-12	4	60.8833	4.28599
2015-04	4	86.83018	6.11256
1998-07	4	49.28985	3.46985
2012-03	4	125.42475	8.8295
2015-10	4	39.19719	2.75936
2005-07	4	89.80856	6.32223
1997-02	4	128.25497	9.02873
2006-03	4	47.43748	3.33944
2010-12	4	60.80414	4.28041
1998-06	4	80.93993	5.69791
2022-02	4	64.46807	4.53834
2001-01	4	137.58663	9.68565
2021-09	4	46.79374	3.29413
2014-06	4	69.37098	4.88349
2007-06	4	56.0274	3.94415
2011-07	4	92.32069	6.49908
1996-09	4	318.37554	22.4126
1992-04	4	221.86179	15.61835
2003-09	3	74.72737	5.26056
1995-07	3	82.45845	5.80481
2001-03	3	53.12209	3.73962
1999-05	3	42.12839	2.9657
2000-02	3	51.75785	3.64358
2002-01	3	54.84344	3.8608
2001-09	3	73.22016	5.15446
2005-04	3	98.94428	6.96536
2009-07	3	45.15345	3.17866
2007-05	3	71.98642	5.06761
2005-01	3	94.14525	6.62752
2018-08	3	354.95548	24.98771
2019-04	3	46.88773	3.30074
2003-02	3	64.84369	4.56479
2011-10	3	49.92426	3.51451
2003-11	3	45.90892	3.23184
2002-05	3	41.34226	2.91036
1999-04	3	49.60678	3.49216
2003-03	3	74.45073	5.24109
2002-12	3	54.47461	3.83484
2000-05	3	49.97836	3.51831
1996-07	3	116.95148	8.23301
1995-12	3	129.5886	9.12262
1993-10	3	81.30173	5.72338
1991-07	3	99.73694	7.02116
1990-10	3	102.7387	7.23247
1997-10	2	32.33242	2.2761
1997-11	2	38.50305	2.71049
1995-01	2	93.93048	6.6124
1998-04	2	39.45609	2.77758
2000-07	2	34.07912	2.39906
2000-11	2	81.15124	5.71278
2000-12	2	101.89659	7.17319
2001-10	2	33.79398	2.37899
2018-04	2	48.95475	3.44626
1999-09	2	48.50178	3.41437
2002-11	2	36.00391	2.53456
2005-02	2	44.41012	3.12633
2005-03	2	38.5277	2.71222
1998-10	2	28.31862	1.99354
2007-07	2	40.32819	2.83897
2007-09	2	28.72947	2.02246
2021-01	2	50.73168	3.57135
1995-04	2	109.81987	7.73096
2018-10	2	36.68552	2.58254
1999-03	2	27.07583	1.90605
1999-10	2	33.97918	2.39202
2019-07	2	41.77515	2.94083
2004-11	2	49.45076	3.48117
2017-04	2	31.01772	2.18355
2001-12	2	45.1966	3.18169
1991-05	2	51.91807	3.65486
2014-10	2	49.97221	3.51788
2011-11	2	185.97819	13.09226
1998-01	2	39.71577	2.79586
2011-02	2	26.61837	1.87385
1997-06	2	28.89462	2.03409
1996-03	2	77.93087	5.48608
1993-11	2	61.12629	4.30309
1991-11	2	91.22622	6.42203
1997-07	1	12.07357	0.84994
1997-09	1	20.9956	1.47802
1999-06	1	16.28803	1.14662
2022-04	1	72.62558	5.11261
2020-02	1	19.30852	1.35926
2002-09	1	31.49928	2.21745
2004-09	1	114.38556	8.05237
1992-02	1	91.41114	6.43505
2016-01	1	16.21506	1.14149
2002-10	1	16.11954	1.13476
1998-11	1	22.51499	1.58498
1998-02	1	13.39419	0.94291
1994-03	1	29.61626	2.08489
2010-07	1	17.74107	1.24891
2018-07	1	73.0063	5.13941
1994-09	1	50.23446	3.53634
1997-04	1	17.3409	1.22074
2017-06	1	11.90603	0.83815
1995-09	1	57.10266	4.01984
1998-12	1	22.64773	1.59433
2007-01	1	24.48928	1.72397
1994-11	1	42.86486	3.01755
2018-05	1	110.34108	7.76765
1998-03	1	17.79474	1.25269
2006-12	1	18.76679	1.32112
1995-03	1	33.6656	2.36995
2001-02	1	19.19313	1.35113
1995-06	1	42.12443	2.96542
1994-06	1	34.16198	2.40489
2011-08	1	312.25024	21.9814
1997-03	1	36.7756	2.58888
1996-10	1	81.41309	5.73122
1996-06	1	43.74532	3.07953
1996-05	1	46.26061	3.2566
1995-11	1	32.62241	2.29651
1994-12	1	57.08247	4.01842
1994-10	1	41.80078	2.94264
1993-07	1	32.05586	2.25663
1994-05	1	42.56342	2.99633
1994-02	1	42.23527	2.97323
1993-12	1	68.28963	4.80737
1992-09	1	32.60915	2.29558
1992-01	1	32.41058	2.2816
1991-12	1	20.85427	1.46807
1991-09	1	29.73062	2.09294
1990-12	1	17.65854	1.2431
1990-11	1	31.97008	2.25059
Date	Frequency	Relative density	Relative in text types
2008-11-07	17	4068.88628	286.43639
2021-06-09	10	1832.59799	129.00895
2020-06-03	10	628.47081	44.24231
2021-10-27	9	1201.01457	84.54753
2004-05-05	9	1163.4494	81.90306
2013-11-11	8	1519.43524	106.96331
2021-03-04	8	1503.65323	105.85231
2000-04-20	7	2164.06016	152.34281
2009-05-25	7	1110.26452	78.15902
2008-12-16	7	1995.51275	140.47762
2020-12-03	6	553.97455	38.99801
2012-07-05	6	833.1007	58.64759
2016-06-01	6	816.99338	57.51368
2020-11-19	6	874.25582	61.54477
2009-04-01	6	719.57854	50.656
2020-03-03	6	1392.5074	98.028
2012-10-23	6	740.38761	52.12089
2004-05-31	5	547.39812	38.53505
2021-02-15	5	769.52914	54.17235
2013-05-21	5	550.69587	38.7672
2008-11-11	5	1289.31891	90.76387
2006-07-06	5	1416.13	99.69096
2002-04-12	5	1920.34825	135.18629
2020-06-01	5	603.17272	42.4614
2021-12-03	5	1308.07765	92.08442
2020-11-12	5	514.93863	36.25001
2021-05-05	5	500	35.19838
2009-11-26	5	606.39642	42.68834
2020-11-18	5	820.88207	57.78743
2013-07-10	5	680.61904	47.91337
2020-07-10	5	1393.10372	98.06998
2003-01-30	4	1008.92788	71.02525
2021-03-25	4	590.41959	41.56362
2009-03-31	4	941.45873	66.27564
2004-06-16	4	868.886	61.16676
2007-11-27	4	401.2655	28.24779
2007-11-28	4	306.82103	21.59921
2017-03-22	4	580.15336	40.84091
2008-11-18	4	368.31093	25.92789
2009-10-21	4	436.13365	30.70239
2020-04-24	4	325.90451	22.94262
2009-05-22	4	467.94591	32.94187
2009-09-08	4	833.03963	58.64329
2010-11-02	4	836.3995	58.87981
2011-09-02	4	866.59346	61.00537
2012-06-15	4	569.32958	40.07896
2012-09-19	4	1438.64696	101.27608
2012-12-01	4	696.98249	49.06531
2013-03-18	4	309.10268	21.75983
2013-03-19	4	501.49865	35.30388
2017-05-25	4	532.19441	37.46476
2013-11-20	4	446.29039	31.4174
2012-10-29	4	527.81927	37.15676
2020-07-02	4	1340.74564	94.38414
2021-07-08	4	525.50543	36.99388
2020-06-02	4	433.06226	30.48618
2020-04-21	4	518.93985	36.53168
2013-10-01	4	746.2282	52.53204
2011-03-17	4	491.14703	34.57516
2007-10-23	4	693.85891	48.84542
2013-10-17	4	565.92732	39.83945
2019-11-25	4	465.40856	32.76325
2020-04-22	4	422.26797	29.7263
2010-03-25	4	598.59256	42.13897
2008-02-05	4	504.88529	35.54229
2014-01-21	4	632.93159	44.55633
2008-11-17	4	379.05804	26.68446
2021-10-04	4	472.26304	33.24579
2021-10-22	4	383.3881	26.98928
2020-05-12	4	554.23572	39.0164
2017-07-12	4	817.74196	57.56638
2016-02-17	4	1049.84573	73.90573
2020-04-14	4	673.58339	47.41809
1996-09-17	4	2134.11456	150.23474
2010-01-20	4	541.77481	38.13919
2015-02-10	4	400.93989	28.22487
2014-09-18	4	729.4163	51.34854
2012-01-28	4	752.12517	52.94717
2014-04-28	4	664.0892	46.74973
1992-04-22	4	501.60933	35.31167
2000-08-24	3	785.35282	55.28629
2002-06-07	3	831.60504	58.5423
2004-04-15	3	362.75079	25.53648
2005-06-20	3	401.85957	28.28961
2010-04-13	3	653.03258	45.97138
2012-06-19	3	968.09632	68.15084
2005-01-14	3	1055.4686	74.30157
2006-06-21	3	437.79253	30.81917
2006-09-26	3	499.77249	35.18236
2003-10-15	3	1222.47849	86.05852
2008-11-19	3	344.845	24.27597
2013-12-11	3	599.25753	42.18579
2014-05-14	3	329.9136	23.22485
2008-11-06	3	1546.95804	108.90083
2009-09-22	3	516.18983	36.33809
2009-09-24	3	434.36994	30.57823
2009-04-15	3	306.19495	21.55513
2004-04-06	3	504.4938	35.51473
2013-01-10	3	352.81319	24.8369
2020-05-25	3	511.26654	35.99151
2011-03-30	3	729.28211	51.33909
2007-10-01	3	693.31989	48.80747
2012-05-10	3	400.26675	28.17748
2009-06-19	3	597.468	42.05981
2012-11-05	3	472.00151	33.22737
2019-12-19	3	352.27656	24.79913
2012-11-23	3	650.76888	45.81202
2012-12-12	3	490.2402	34.51132
2010-02-17	3	691.19455	48.65785
2012-12-18	3	395.16334	27.81822
2012-12-20	3	557.51851	39.24749
2013-01-29	3	1214.88113	85.52369
2013-03-05	3	696.87991	49.05808
2011-01-10	3	542.3281	38.17814
2014-01-29	3	357.34554	25.15597
2020-11-25	3	502.18713	35.35235
2015-05-19	3	430.66506	30.31742
2019-03-21	3	904.21388	63.65372
2013-06-17	3	719.6393	50.66027
2006-07-11	3	434.25043	30.56982
2012-10-26	3	487.8662	34.3442
2016-10-13	3	352.72267	24.83053
2021-04-21	3	282.99654	19.92204
2013-04-26	3	510.84979	35.96217
2020-10-27	3	449.63125	31.65258
2008-11-21	3	597.49313	42.06158
2022-03-24	3	1197.77397	84.3194
2014-12-16	3	638.66559	44.95999
2017-07-04	3	884.9673	62.29883
2021-12-20	3	310.01055	21.82374
2021-06-10	3	257.6502	18.13774
2016-03-03	3	437.44201	30.7945
2017-03-09	3	210.33315	14.80677
2016-11-07	3	463.45989	32.62607
2021-04-22	3	446.81213	31.45412
2020-11-11	3	793.36498	55.85032
2021-02-02	3	501.3895	35.29619
2017-12-11	3	974.69467	68.61534
2016-02-26	3	396.85611	27.93738
2020-09-01	3	1347.48625	94.85866
2020-12-11	3	286.60704	20.17621
2021-05-28	3	861.18218	60.62443
2021-12-17	3	334.04351	23.51558
2016-07-15	3	635.5036	44.73739
2013-02-27	3	473.23324	33.31409
2021-07-06	3	455.93298	32.0962
2017-11-29	3	877.56842	61.77797
2020-09-22	3	426.24978	30.0066
2006-01-10	3	740.66427	52.14036
2012-09-28	3	569.82631	40.11392
2013-11-14	3	319.68254	22.50461
2016-11-23	3	331.95149	23.36831
1997-01-31	3	617.71587	43.48519
2020-06-17	3	476.59927	33.55104
2016-09-22	3	517.73882	36.44713
2015-11-11	3	445.84916	31.38633
2013-11-08	3	322.49853	22.70285
2015-03-13	3	540.87575	38.0759
2011-05-03	3	838.59263	59.0342
2016-07-13	2	369.21078	25.99124
1999-12-15	2	369.95117	26.04336
2020-06-10	2	805.07807	56.67488
2021-11-04	2	209.73741	14.76483
2001-07-20	2	801.51216	56.42386
2001-09-13	2	253.81612	17.86783
2002-02-07	2	329.92765	23.22584
2007-10-09	2	685.09972	48.2288
2003-01-16	2	486.74616	34.26535
2003-05-08	2	1072.21195	75.48024
2003-06-04	2	355.04124	24.99375
2003-09-12	2	780.91312	54.97375
2021-06-14	2	485.60636	34.18511
1995-12-21	2	655.55402	46.14888
2004-07-05	2	430.51279	30.3067
2015-07-09	2	282.02547	19.85368
2019-10-03	2	224.26371	15.78744
2005-12-01	2	450.68689	31.72689
2002-06-14	2	614.79734	43.27974
1990-10-30	2	201.51221	14.18581
2006-05-29	2	421.61938	29.68064
2006-06-19	2	739.31509	52.04538
2007-11-19	2	425.21627	29.93385
2006-10-05	2	364.68474	25.67262
2001-06-19	2	606.59322	42.70219
2007-03-09	2	1048.23821	73.79257
2007-06-07	2	347.51508	24.46393
2007-10-29	2	377.98888	26.60919
2007-11-23	2	1072.4548	75.49734
2016-04-05	2	297.33854	20.93167
2007-11-29	2	419.80023	29.55257
2007-11-26	2	175.87876	12.38129
2011-04-21	2	271.66968	19.12466
2008-01-29	2	285.00747	20.0636
2008-03-19	2	226.04448	15.9128
2001-04-11	2	353.33242	24.87346
2008-04-23	2	344.02238	24.21806
2008-04-25	2	510.74877	35.95506
2008-05-06	2	603.11638	42.45744
2008-06-03	2	292.38733	20.58312
2008-06-23	2	2348.54924	165.33025
2015-11-16	2	259.38228	18.25967
2002-12-19	2	435.06838	30.6274
2009-03-30	2	714.69109	50.31193
2010-03-04	2	369.61426	26.01964
2009-04-23	2	361.94359	25.47965
